
Minimum time:  301	(0.109767 ms)

Test #		Time
1:		596	(0.217345 ms)
2:		493	(0.179784 ms)
3:		459	(0.167385 ms)
4:		438	(0.159727 ms)
5:		438	(0.159727 ms)
6:		439	(0.160091 ms)
7:		430	(0.156809 ms)
8:		416	(0.151704 ms)
9:		414	(0.150975 ms)
10:		428	(0.15608 ms)
11:		424	(0.154621 ms)
12:		422	(0.153892 ms)
13:		426	(0.155351 ms)
14:		419	(0.152798 ms)
15:		423	(0.154257 ms)
16:		414	(0.150975 ms)
17:		403	(0.146963 ms)
18:		419	(0.152798 ms)
19:		405	(0.147692 ms)
20:		414	(0.150975 ms)
21:		409	(0.149151 ms)
22:		417	(0.152069 ms)
23:		406	(0.148057 ms)
24:		415	(0.151339 ms)
25:		413	(0.15061 ms)
26:		416	(0.151704 ms)
27:		399	(0.145504 ms)
28:		411	(0.149881 ms)
29:		407	(0.148422 ms)
30:		398	(0.14514 ms)
31:		418	(0.152433 ms)
32:		399	(0.145504 ms)
33:		417	(0.152069 ms)
34:		406	(0.148057 ms)
35:		403	(0.146963 ms)
36:		459	(0.167385 ms)
37:		421	(0.153527 ms)
38:		417	(0.152069 ms)
39:		422	(0.153892 ms)
40:		404	(0.147328 ms)
41:		401	(0.146234 ms)
42:		409	(0.149151 ms)
43:		415	(0.151339 ms)
44:		409	(0.149151 ms)
45:		414	(0.150975 ms)
46:		418	(0.152433 ms)
47:		398	(0.14514 ms)
48:		408	(0.148787 ms)
49:		415	(0.151339 ms)
50:		399	(0.145504 ms)
51:		411	(0.149881 ms)
52:		419	(0.152798 ms)
53:		452	(0.164832 ms)
54:		420	(0.153163 ms)
55:		399	(0.145504 ms)
56:		401	(0.146234 ms)
57:		412	(0.150245 ms)
58:		417	(0.152069 ms)
59:		423	(0.154257 ms)
60:		410	(0.149516 ms)
61:		413	(0.15061 ms)
62:		401	(0.146234 ms)
63:		403	(0.146963 ms)
64:		480	(0.175043 ms)
65:		506	(0.184524 ms)
66:		392	(0.142952 ms)
67:		385	(0.140399 ms)
68:		374	(0.136388 ms)
69:		367	(0.133835 ms)
70:		373	(0.136023 ms)
71:		372	(0.135658 ms)
72:		367	(0.133835 ms)
73:		369	(0.134564 ms)
74:		365	(0.133106 ms)
75:		367	(0.133835 ms)
76:		352	(0.128365 ms)
77:		359	(0.130918 ms)
78:		351	(0.128 ms)
79:		352	(0.128365 ms)
80:		363	(0.132376 ms)
81:		357	(0.130188 ms)
82:		357	(0.130188 ms)
83:		349	(0.127271 ms)
84:		360	(0.131282 ms)
85:		365	(0.133106 ms)
86:		361	(0.131647 ms)
87:		359	(0.130918 ms)
88:		363	(0.132376 ms)
89:		347	(0.126541 ms)
90:		348	(0.126906 ms)
91:		361	(0.131647 ms)
92:		356	(0.129824 ms)
93:		479	(0.174678 ms)
94:		358	(0.130553 ms)
95:		357	(0.130188 ms)
96:		372	(0.135658 ms)
97:		354	(0.129094 ms)
98:		381	(0.13894 ms)
99:		468	(0.170667 ms)
100:		560	(0.204217 ms)
101:		362	(0.132012 ms)
102:		370	(0.134929 ms)
103:		349	(0.127271 ms)
104:		363	(0.132376 ms)
105:		360	(0.131282 ms)
106:		350	(0.127635 ms)
107:		353	(0.12873 ms)
108:		360	(0.131282 ms)
109:		357	(0.130188 ms)
